t,gx_rad_s,gy_rad_s,gz_rad_s,ax_m_s2,ay_m_s2,az_m_s2,mx_uT,my_uT,mz_uT
216.15,0.0079375471753194,-0.006890823806304879,0.003075945399249377,0.22295691171551293,-0.10770536822131783,-9.491259595329197,37.322462085706356,-5.552163640039332,45.79353984780621
216.16,0.008810890871274098,-0.005678405677678965,0.0030831888990020015,0.21334533096562738,-0.09907806463556246,-9.470005113557983,37.563290201051146,-5.391797471317849,45.81523348163316
216.17000000000002,0.008961204440729814,-0.0048120366107546105,0.003000204293334146,0.20433566033735504,-0.08444239317500886,-9.505874115545984,37.591327295258836,-5.2819135201238865,45.85194060230044
216.18,0.008471312757503777,-0.005598218297873536,0.0036977808056912853,0.22541299403488946,-0.08284366229231423,-9.484102357052281,37.58936141571261,-5.522086519047328,45.81603823417428
216.19,0.009057264614297775,-0.0059074687937979795,0.003087345959281855,0.21503215772656667,-0.09684378598684089,-9.488321148474407,37.5166566817081,-5.49068503135824,45.94811028337837
216.20000000000002,0.008601071071098036,-0.005945293316886242,0.0033053625705828592,0.22272530667238224,-0.09382966725937941,-9.489561264445586,37.362694718745175,-5.581118160101097,45.915472154116564
216.21,0.008875893535887403,-0.005730777831529219,0.0034271007773336005,0.20735393105682412,-0.08173936447222946,-9.500056307696784,37.54629233065594,-5.491825698264574,45.95093983835396
216.22,0.00863648831673648,-0.0057455672792066275,0.0029356533882443996,0.21484591850138335,-0.0978936733676631,-9.508336854810473,37.43112506358533,-5.5445466919313295,45.81833663485365
216.23000000000002,0.008783280396125569,-0.005942561474751981,0.003119306022889417,0.20530521010944355,-0.11338102162742103,-9.497978800451763,37.43910487363893,-5.4168492060912845,45.860488549555264
216.24,0.00856592176384167,-0.00538640754536485,0.0030627176354097083,0.19949327514610712,-0.11013066742626079,-9.487691028438423,37.61545096900948,-5.505994016336478,45.938438950501514
216.25,0.00782558281727538,-0.005854138251591069,0.0037555143160975454,0.2059966575397165,-0.08595820837387107,-9.486048808777374,37.45694587537991,-5.4972582677199675,45.7234680244249
216.26,0.00839227592672954,-0.006019575235229994,0.0027519544806342477,0.22294776117254814,-0.09684356521756077,-9.503529297921204,37.41300063215895,-5.542479301146327,45.7651434753099
