t,roll_true_deg,pitch_true_deg,yaw_true_deg,gx_rad_s,gy_rad_s,gz_rad_s,ax_g,ay_g,az_g,mx,my,mz,temp_c
23.150000000000002,-129.8482661090816,-71.18946623051826,-162.11438770020052,-0.27356194765482245,0.21133549827108844,0.44198094174821134,-0.9355216760612791,0.22428127456262098,0.23213081157242818,-0.6296106401446538,-0.7251860131005166,-0.18265344000588213,29.579009479899874
23.16,-129.2628713687499,-71.07649836482595,-162.90624603201167,-0.2779117742941544,0.21340642146604702,0.44135116213906717,-0.9314863410697397,0.23649540072239755,0.189335449896239,-0.6589741883698931,-0.7247693761845261,-0.2030364649037735,29.580012983199005
23.17,-128.6848824213057,-70.96121408127472,-163.69304629311898,-0.28371348755209763,0.21563892207165583,0.43971572485021654,-0.9818944869730009,0.23923887038794833,0.20780536323238352,-0.6528456499132724,-0.7230283530056519,-0.19198049963557787,29.58101534149491
23.18,-128.1143527128711,-70.84363779841463,-164.4747303882197,-0.28841907810866396,0.21537696025655273,0.4440679542591748,-0.9478028198524471,0.2717860466729446,0.20826393616757338,-0.6475500831682544,-0.7292342534560908,-0.19113379011560896,29.582016554537006
23.19,-127.55132935232365,-70.72379437627426,-165.25124649879044,-0.2850936837783545,0.21937223912728038,0.44511054954023177,-0.9578960539143689,0.27513442335475424,0.21813621439815523,-0.6679885934469404,-0.7152908067608652,-0.2027706199913788,29.583016622074986
23.2,-126.99585326134142,-70.60170907891798,-166.02254893351932,-0.29302391591342175,0.22300563439829416,0.4458752006603886,-0.9453173829730029,0.27776711589094516,0.21654127017500335,-0.6712158986457784,-0.7177102844676533,-0.22706130565282837,29.584015543858833
23.21,-126.44795933361857,-70.47740753799481,-166.78859796955908,-0.2961307560322861,0.22572443368860984,0.44455252256681965,-0.9405082511124971,0.26550920166148084,0.19277448546509743,-0.6659558041522418,-0.7220407646478045,-0.2155584951456878,29.585013319638822
23.22,-125.90767660211155,-70.35091571733945,-167.54935968573918,-0.3036232528379706,0.22570134227652536,0.44655787019204046,-0.948238300456203,0.27291314044598586,0.19389829743075698,-0.6594153471067615,-0.7150804431130962,-0.21071843755546843,29.5860099491655
23.23,-125.37502841321064,-70.22225987867922,-168.30480578884357,-0.30668263721410755,0.22792187396626057,0.44934865736736457,-0.9247447060052589,0.29796736837489907,0.20027917981204243,-0.6610243807499444,-0.6908662178745572,-0.2321838736122881,29.58700543218972
23.240000000000002,-124.85003260676662,-70.09146654849076,-169.05491343402227,-0.30998150484962933,0.22349972159142384,0.4501085366053349,-0.9628654055429738,0.25274994680088825,0.17812235705183077,-0.6933088311902613,-0.7007896363032922,-0.23573402142818933,29.587999768462602
